column,start,length
contest_id,1,4
candidate_number,5,3
precinct_name,8,4
registered_voters,12,6
number_votes,12,6
votes_group_1,18,6
votes_group_2,24,6
votes_group_3,30,6
votes_group_4,36,6
votes_group_5,42,6
party_code,48,3
district_type_id,51,3
district_code,54,4
contest_title,58,56
candidate_name,114,38
precinct,152,30
district_name,182,25
votes_allowed,207,2
referendum_flag,209,1
cr_code,210,1
lf_code,211,1
